Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,Code,Label,2_Merkmal_Code,2_Merkmal_Label,Code_Monat,Monat,Ankuenfte,Uebernachtungen
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,11,November,1075666,2740670
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,12,December,861903,2326417
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,01,January,1626411,3624078
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,02,February,1666541,3594398
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,03,March,1978946,4260353
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,04,April,1906579,4258839
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,05,May,2227835,4682314
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,06,June,2229194,4879763
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,07,July,2136421,4891590
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,08,August,2117855,4925448
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,09,September,2273460,4862741
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,10,October,2182699,4984730
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,11,November,2140019,4445979
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,MONAT,Monate,12,December,1823690,3849551
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,01,January,362423,919567
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,02,February,402197,966889
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,03,March,574288,1375602
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,04,April,760348,1945238
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,05,May,923399,2184511
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,06,June,1006601,2575740
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,07,July,972939,2674696
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,08,August,1084665,2941097
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,09,September,1020517,2529926
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,10,October,908842,2319182
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,11,November,601465,1360520
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,07,Rheinland-Pfalz,MONAT,Monate,12,December,502067,1225896
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,01,January,65902,198064
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,02,February,67385,197930
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,03,March,82872,238681
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,04,April,93468,273938
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,05,May,104253,280062
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,06,June,112873,317637
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,07,July,109307,345446
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,08,August,116685,334852
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,09,September,108965,294356
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,10,October,102262,295000
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,11,November,85481,233109
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,10,Saarland,MONAT,Monate,12,December,73222,207608
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,01,January,436665,1087041
